timestamp,elapsed_s,working_set_mb,private_mb,threads,handles,ws_msgs,gotos
2026-07-29T09:27:06,30,142.82,217.14,41,704,339,8
2026-07-29T09:27:36,60,151.53,225.8,43,710,671,15
2026-07-29T09:28:06,90,144.17,217.4,41,701,1009,23
2026-07-29T09:28:36,120,143.86,217.65,41,703,1341,30
2026-07-29T09:29:06,150,143.7,218.16,37,695,1680,38
2026-07-29T09:29:36,180,144.18,217.41,37,695,2013,45
2026-07-29T09:30:06,210,143.92,217.79,37,695,2348,52
2026-07-29T09:30:36,240,145.04,218.99,37,695,2685,60
2026-07-29T09:31:06,271,144.27,218.3,37,695,3020,67
