time,ws_mb,cpu_s,ffmpeg_count
14:58:58,84.3,4.9,1
14:59:31,92.5,8.9,1
15:00:04,92.5,13.2,1
15:00:37,92.5,17.2,1
15:01:10,,,1
15:01:43,,,1
15:02:15,,,1
15:02:48,,,1
15:03:21,,,1
15:03:54,,,1
15:04:27,,,1
15:05:00,,,1
15:05:33,,,1
15:06:06,,,1
15:06:39,,,1
15:07:12,,,1
15:07:44,,,1
15:08:17,,,1
15:08:50,,,1
15:09:23,,,1
15:09:56,,,2
15:10:29,,,2
15:11:02,,,2
15:11:34,,,2
15:12:07,,,2
15:12:40,,,2
15:13:13,,,2
15:13:46,,,2
15:14:19,,,2
15:14:52,,,2
15:15:25,,,2
15:15:59,,,2
15:16:32,,,3
15:17:05,,,3
15:17:39,,,2
15:18:12,,,2
15:18:46,,,2
15:19:18,,,2
15:19:51,,,2
15:20:24,,,2
15:20:57,93,167.5,1
15:21:30,93,171.6,1
15:22:03,93,175.9,1
15:22:36,93,180.3,1
15:23:09,93,185.9,1
15:23:42,93,190.6,1
15:24:16,93,195.3,1
15:24:49,93,200.6,1
15:25:22,93,206.1,1
15:25:55,93,211.4,1
15:26:29,93,216.3,2
15:27:03,93,222.7,1
15:27:36,93.1,226.5,1
15:28:09,93.1,230.6,1
15:28:42,93.1,234.3,1
15:29:14,93.1,238.3,1
15:29:47,93.1,242.1,1
15:30:20,93.1,246,1
15:30:53,93.1,250.2,1
15:31:26,93,254.2,1
15:31:59,93.1,258.6,1
15:32:32,93.1,263.4,1
15:33:04,93.2,267.8,1
15:33:37,93.2,272.2,1
15:34:10,93.2,276.7,1
15:34:43,93.2,281,1
